data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9105713,404,KEN8123,8123,5-Feb-22,2022,1,Riots,Violent demonstration,Rioters (Kenya),,5,Civilians (Kenya),Labour Group (Kenya); Police Forces of Kenya (2013-),7,57,Eastern Africa,Kenya,Baringo,Marigat,Marigat,Marigat,0.4667,35.9833,2,Twitter; Citizen (Kenya),New media-National,"On 5 February 2022, local residents attacked and stoned a mini bus [assumed commercial] ferrying passengers along the Marigat-Chemolingot road, near Marigat town (Marigat, Baringo county) as they demonstrated against increased banditry attacks in the region. Several passengers sustained minor injuries. Police stepped in to quell the situation. [size=no report]",0,1650311548,KEN
9105714,404,KEN8124,8124,5-Feb-22,2022,1,Violence against civilians,Attack,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Civilians (Kenya),Taxi Drivers (Kenya),7,47,Eastern Africa,Kenya,Baringo,Tiaty,Tirioko,Kapedo,1.1692,36.0955,2,Twitter; Citizen (Kenya),New media-National,"On 5 February 2022, suspected Pokot militia shot and killed a motorcycle rider (boda boda) along the Lomelo-Kapedo road, near Kapendo (Tiaty, Baringo county).",1,1650311548,KEN
9105982,404,KEN8129,8129,5-Feb-22,2022,1,Violence against civilians,Attack,Turkana Ethnic Militia (Kenya),,4,Civilians (Kenya),Pastoralists (Kenya),7,47,Eastern Africa,Kenya,West Pokot,Pokot North,Alale,Turkwel River,2.3,35.2333,2,Kenya Broadcasting Corporation,National,"On 5 February 2022, suspected Turkana militia staged a retaliatory attack against the Pokot community in Lokeke village near Turkwel River (Pokot North, West Pokot) and made away with more than 100 goats. Casualties unknown.",0,1650311549,KEN
9107195,728,SSD8264,8264,5-Feb-22,2022,2,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,SPLM-In Opposition-Kitgweng: Sudan People's Liberation Movement-In Opposition (Kitgweng faction),,2,22,Eastern Africa,South Sudan,Upper Nile,Luakpiny/Nasir,Nasir,Nasir,8.6163,33.0663,2,Sudans Post,National,"Around 5 February 2022 (as reported), SPLM-IO Kitgweng forces claimed IO loyalists attacked their forces in the area of Nasir (Luakpiny/Nasir county, Upper Nile state), and were repulsed after sustaining 'heavy losses'. The event could not be independently verified, and casualties are unknown.",0,1650317299,SSD
9238148,108,BUR10893,10893,5-Feb-22,2022,2,Violence against civilians,Attack,Police Forces of Burundi (2005-) National Intelligence Service,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),1,Civilians (Burundi),Labour Group (Burundi),7,17,Eastern Africa,Burundi,Ngozi,Ngozi,Centre Urbain,Ngozi,-2.9075,29.8306,2,Ligue Iteka,National,"Around 5 February 2022, the chief of the SNR and Imbonerakure killed a worker of Winners Hotel in the town of Ngozi and left his body in Vyegwa (Ngozi, Ngozi). The chief of the SNR and an Imbonerakure were arrested. The chief of the SNR had been killing civilians in the town of Ngozi and left their bodies in Vyegwa near a river.",1,1652723378,BDI
9283172,706,SOM36075,36075,5-Feb-22,2022,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Somalia),,3,Military Forces of Somalia (2012-2017) Puntland Police Force,,1,13,Eastern Africa,Somalia,Bari,Bossaso,,Bosaso,11.2842,49.1816,1,Undisclosed Source,Local partner-Other,"On 5 February 2022, unidentified gunmen threw a hand grenade at a police at a checkpoint near Panaroma hotel at the Bulsho trading store in Bosaso town (Bossaso, Bari). Casualties unknown.",0,1653346610,SOM
9284110,706,SOM36048,36048,5-Feb-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-2022),,1,12,Eastern Africa,Somalia,Bay,Diinsoor,,Diinsoor,2.4074,42.9766,1,Somali Memo; VOA; Undisclosed Source,Local partner-Other,"On 5 February 2022, Al Shabaab militants launched an attack against government security forces (SNA) at a base in Diinsoor town (Diinsoor, Bay). Al Shabaab partially took over the southern side of town. Two soldiers were killed and four others were injured. Al Shabaab claimed killing ten soldiers.",2,1653348292,SOM
8818374,706,SOM36032,36032,4-Feb-22,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Civilians (Somalia),,7,27,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Abdi-Dhore,-0.3257,42.2799,2,Somali News Agency; Radio Risala; Radio Dalsan,National,"On 4 February 2022, an IED by Al Shabaab militants detonated, targeting civilians travelling on a mini bus in Gaabogabdhoole area near Abdi-Dhore village (Kismaayo, Lower Juba). At least ten civilians were killed and three others were injured.",10,1644260439,SOM
8818486,404,KEN8120,8120,4-Feb-22,2022,1,Riots,Violent demonstration,Rioters (Kenya),Taxi Drivers (Kenya),5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,West Pokot,Pokot South,Chepareria,Chepareria,1.3077,35.2039,1,Kenya Standard,National,"On 4 February 2022, local residents, mainly boda boda drivers staged a demonstration by barricading the Kitale-Lodwar highway with burning tires, huge stones and stoning a police vehicle in Chepareria (Pokot South, West Pokot). The demonstrators demanded mob justice on a man arrested by police, allegedly for intending to kidnap a minor. Police fired teargas to disperse the demonstrators. [size=no report]",0,1644260439,KEN
8818624,404,KEN8119,8119,4-Feb-22,2022,1,Riots,Violent demonstration,Rioters (Kenya),Labour Group (Kenya),5,Police Forces of Kenya (2013-),,1,15,Eastern Africa,Kenya,Machakos,Athi River,Athi River,Athi River,-1.45,36.9833,1,Star (Kenya),National,"On 4 February 2022, a section of export processing zone (epz) workers staged a demonstration over alleged introduction of a new payslip by their employer in Athi River (Athi River, Machakos County). The demonstrators clashed with the police in running battles after they were denied access to the firm as police fired tear gas to disperse them. Scores injured during the incident. [size=no report]",0,1644260439,KEN
